cell	trial	ttft_ms	exit_ms	rc	stdout_bytes	note
# ia_cold load: 3.41 2.85 2.69
# resid ia_cold #1: resid_pct=0
ia_cold	1	297.5	299.1	0	8	cold
# resid ia_cold #2: resid_pct=0
ia_cold	2	268.8	270.5	0	8	cold
# resid ia_cold #3: resid_pct=0
ia_cold	3	250.4	252.0	0	8	cold
# resid ia_cold #4: resid_pct=0
ia_cold	4	271.6	273.4	0	8	cold
# resid ia_cold #5: resid_pct=0
ia_cold	5	256.5	258.1	0	8	cold
# resid ia_cold #6: resid_pct=0
ia_cold	6	260.9	262.6	0	8	cold
# resid ia_cold #7: resid_pct=0
ia_cold	7	262.9	264.4	0	8	cold
# resid ia_cold #8: resid_pct=0
ia_cold	8	262.3	263.8	0	8	cold
# resid ia_cold #9: resid_pct=0
ia_cold	9	266.5	268.0	0	8	cold
# resid ia_cold #10: resid_pct=0
ia_cold	10	264.5	266.0	0	8	cold
# resid ia_cold #11: resid_pct=0
ia_cold	11	262.1	263.8	0	8	cold
# resid ia_cold #12: resid_pct=0
ia_cold	12	256.7	258.1	0	8	cold
# ia_warm load: 3.46 2.87 2.69
ia_warm	1	110.8	112.3	0	8	warm
ia_warm	2	100.2	102.0	0	8	warm
ia_warm	3	96.8	98.4	0	8	warm
ia_warm	4	95.6	97.1	0	8	warm
ia_warm	5	91.9	93.5	0	8	warm
ia_warm	6	99.8	101.6	0	8	warm
ia_warm	7	89.6	91.0	0	8	warm
ia_warm	8	94.6	96.4	0	8	warm
ia_warm	9	105.2	106.6	0	8	warm
ia_warm	10	95.2	96.7	0	8	warm
ia_warm	11	96.3	98.2	0	8	warm
ia_warm	12	95.5	97.2	0	8	warm
# ia_linger load: 3.46 2.87 2.69
ia_linger	1	49.5	50.0	0	8	linger
ia_linger	2	27.5	28.0	0	8	linger
ia_linger	3	27.0	27.4	0	8	linger
ia_linger	4	28.3	28.7	0	8	linger
ia_linger	5	27.7	28.1	0	8	linger
ia_linger	6	27.7	28.1	0	8	linger
ia_linger	7	27.7	28.1	0	8	linger
ia_linger	8	27.1	27.5	0	8	linger
ia_linger	9	30.1	30.6	0	8	linger
ia_linger	10	28.0	28.4	0	8	linger
ia_linger	11	26.9	27.3	0	8	linger
ia_linger	12	27.2	27.6	0	8	linger
# llamacpp_cold load: 3.58 2.91 2.71
# resid llamacpp_cold #1: resid_pct=0
llamacpp_cold	1	1677.4	2228.6	0	24	cold
# resid llamacpp_cold #2: resid_pct=0
llamacpp_cold	2	1291.3	1604.9	0	24	cold
# resid llamacpp_cold #3: resid_pct=0
llamacpp_cold	3	1317.4	1594.4	0	24	cold
# resid llamacpp_cold #4: resid_pct=0
llamacpp_cold	4	1291.1	1631.3	0	24	cold
# resid llamacpp_cold #5: resid_pct=0
llamacpp_cold	5	1288.1	1604.3	0	24	cold
# resid llamacpp_cold #6: resid_pct=0
